Sort,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
0.721157143,811-35-1094,,Mandalay,Member,Male,Electronic accessories,50.45,Six,15.135,317.835,02-06-2019,15:16,Credit card,302.7,4.761904762,15.135,8.9
0.150600317,546-80-2899,A,Yangon,Member,Male,Home and lifestyle,37.69,2,3.769,79.149,2/20/2019,15:29,,75.38,4.761904762,3.769,9.5
0.946204243,449-27-2918,B,Mandalay,Member,Female,Sports and travel,,1,1.956,41.076,3/26/2019,11:02,Credit card,39.12,4.761904762,1.956,9.6
0.42301946,503-07-0930,C,Naypyitaw,Member,Male,Sports and travel,58.39,7,20.4365,429.1665,2/23/2019,19:49,Credit card,408.73,4.761904762,20.4365,8.2
0.430852924,592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,01-11-2019,20:10,Cash,257.39,4.761904762,12.8695,7.4
0.651928344,502-05-1910,A,Yangon,Normal,Male,Health and beauty,,3,9.777,205.317,2/25/2019,20:35,Credit card,195.54,4.761904762,9.777,6.3
0.978987901,220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,03-01-2019,18:14,Ewallet,69.46,4.761904762,3.473,9.7
0.274761513,817-69-8206,B,Mandalay,,Female,Electronic accessories,99.73,,44.8785,942.4485,03-02-2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5
0.516329379,556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96,1,1.148,24.108,1/30/2019,20:47,Cash,22.96,4.761904762,1.148,4.3
0.247701103,499-27-7781,B,Mandalay,,Female,Food and beverages,53.21,8,21.284,446.964,3/14/2019,16:45,Ewallet,425.68,4.761904762,21.284,5
0.201335322,821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48,Six,5.244,110.124,1/18/2019,15:04,Credit card,104.88,4.761904762,5.244,6.1
0.648939334,387-49-4215,B,Mandalay,,Female,Sports and travel,48.5,3,7.275,152.775,01-08-2019,12:50,Cash,145.5,4.761904762,7.275,6.7
0.340412909,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,,39.155,822.255,03-05-2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6
0.290776236,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,Six,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
0.716349856,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9
0.823903043,462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,Six,21.966,461.286,1/21/2019,17:44,,439.32,4.761904762,21.966,7.2
0.884222233,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,,02-01-2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
0.679532314,210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208,550.368,02-05-2019,12:34,Cash,524.16,4.761904762,26.208,9.7
0.79991425,745-71-3520,A,Yangon,Member,Female,Electronic accessories,,7,8.827,185.367,02-04-2019,10:23,,176.54,4.761904762,8.827,8.2
0.566077564,308-47-4913,A,Yangon,Member,Female,,52.26,10,26.13,548.73,03-09-2019,12:45,Credit card,522.6,4.761904762,26.13,6.2
0.535386699,751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,Six,6.903,144.963,01-12-2019,16:45,Ewallet,138.06,4.761904762,6.903,7.9
0.775839146,214-30-2776,B,Mandalay,,Female,Electronic accessories,34.49,Five,8.6225,181.0725,03-11-2019,19:44,Credit card,172.45,4.761904762,8.6225,9
0.137630491,146-09-5432,A,Yangon,Member,Male,Food and beverages,35.04,,15.768,331.128,02-09-2019,19:17,Ewallet,315.36,4.761904762,15.768,4.6
0.609667529,291-59-1384,B,Mandalay,Normal,Male,Electronic accessories,60.3,,3.015,63.315,2/28/2019,17:38,Cash,60.3,4.761904762,3.015,6
0.091002645,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
0.34907132,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
0.268586496,457-12-0244,C,Naypyitaw,,Female,Sports and travel,35.22,Six,10.566,221.886,3/14/2019,13:49,Ewallet,211.32,4.761904762,10.566,6.5
0.290121009,869-11-3082,B,Mandalay,Member,Male,Health and beauty,96.16,4,19.232,403.872,1/27/2019,20:03,Credit card,384.64,4.761904762,19.232,8.4
0.818048393,389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,Five,2.9525,62.0025,2/17/2019,18:06,Cash,59.05,4.761904762,2.9525,9.4
0.826209643,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,Six,21.783,457.443,01-01-2019,10:39,,435.66,4.761904762,21.783,6.9
0.925931911,868-06-0466,A,Yangon,,Male,Electronic accessories,69.58,9,31.311,657.531,2/19/2019,19:38,Credit card,626.22,4.761904762,31.311,7.8
0.905784895,127-47-6963,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,217.182,03-09-2019,13:53,,206.84,4.761904762,10.342,9.8
0.975557399,459-45-2396,A,Yangon,Member,Female,Food and beverages,99.6,,14.94,313.74,2/25/2019,18:45,Cash,298.8,4.761904762,14.94,5.8
0.818885399,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,02-08-2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
0.498910124,794-42-3736,B,Mandalay,Normal,Male,Food and beverages,33.33,2,3.333,69.993,1/26/2019,14:41,Credit card,66.66,4.761904762,3.333,6.4
0.501153558,686-41-0932,B,Mandalay,Normal,Female,Fashion accessories,34.7,2,3.47,72.87,3/13/2019,19:48,Ewallet,69.4,4.761904762,3.47,8.2
0.680649868,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03-03-2019,14:30,Cash,819.7,4.761904762,40.985,9.2
0.600774226,817-48-8732,A,Yangon,,Female,Home and lifestyle,72.35,,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
0.93151922,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,,Six,10.326,216.846,2/18/2019,15:39,,206.52,4.761904762,10.326,9.8
